tabela	coluna	tipo_dado	pk	fk_logica	origem_dados	regra_negocio	observacoes
metabase_tickets	chamado	INT	SIM	-	glpi_tickets.id	Identificador único do ticket no DW	Grão: 1 linha por ticket
metabase_tickets	titulo_chamado	VARCHAR(255)	NÃO	-	glpi_tickets.name	Título do chamado	-
metabase_tickets	tipo_chamado	VARCHAR(50)	NÃO	-	glpi_tickets.type	1=Incidente; 2=Requisição; demais=Outro	Campo textual derivado
metabase_tickets	data_criacao	DATETIME	NÃO	-	glpi_tickets.date	Data de abertura do ticket	UTC
metabase_tickets	data_solucao	DATETIME	NÃO	-	glpi_tickets.solvedate	Data de solução	UTC
metabase_tickets	data_fechamento	DATETIME	NÃO	-	glpi_tickets.closedate	Data de fechamento	UTC
metabase_tickets	data_ultima_atualizacao	DATETIME	NÃO	-	glpi_tickets.date_mod	Última atualização do ticket	UTC
metabase_tickets	data_id	DATE	NÃO	-	DATE(glpi_tickets.date)	Data analítica para cruzamento com calendário	Usada com dim_calendario
metabase_tickets	status_chamado	VARCHAR(50)	NÃO	-	glpi_tickets.status	Status numérico traduzido para descrição textual	Ex.: Novo, Pendente, Fechado
metabase_tickets	prioridade	VARCHAR(20)	NÃO	-	glpi_tickets.priority	Valor convertido para texto	-
metabase_tickets	urgencia	VARCHAR(20)	NÃO	-	glpi_tickets.urgency	Valor convertido para texto	-
metabase_tickets	impacto	VARCHAR(20)	NÃO	-	glpi_tickets.impact	Valor convertido para texto	-
metabase_tickets	canal	VARCHAR(100)	NÃO	-	glpi_requesttypes.name	Canal de abertura do chamado	-
metabase_tickets	status_sla	VARCHAR(50)	NÃO	-	Cálculo SQL no extractor	Consolida situação do SLA	Valores como SLA NO PRAZO / EM RISCO / FORA DO PRAZO / SEM SLA
metabase_tickets	tto_status	VARCHAR(50)	NÃO	-	Cálculo SQL no extractor	Situação do SLA de atendimento	NO PRAZO / EM RISCO / FORA DO PRAZO / SEM SLA
metabase_tickets	ttr_status	VARCHAR(50)	NÃO	-	Cálculo SQL no extractor	Situação do SLA de solução	NO PRAZO / EM RISCO / FORA DO PRAZO / SEM SLA
metabase_tickets	tto_em_risco	TINYINT(1)	NÃO	-	Cálculo SQL no extractor	1 quando atendimento está em risco	0/1
metabase_tickets	ttr_em_risco	TINYINT(1)	NÃO	-	Cálculo SQL no extractor	1 quando solução está em risco	0/1
metabase_tickets	limite_solucao	DATETIME	NÃO	-	glpi_tickets.time_to_resolve	Prazo limite de solução	UTC
metabase_tickets	limite_atendimento	DATETIME	NÃO	-	glpi_tickets.time_to_own	Prazo limite de atendimento	UTC
